wavelength[A],Point source sensitivity [(counts/s/pix)/(erg/cm2/s/A)]
1287.5713970750348, 58868762361027.016
1291.97172,5.88429E+13
1296.3720438009848, 58563942913038.31
1300.7723671639596,5.83676E+13
1305.1726905269347, 58122213035020.78
1309.5730138899096, 57641734922089.44
1313.9733372528844, 57205171475393.75
1318.3736606158595, 56667862617922.13
1322.7739839788344, 56125387329128.69
1326.5742632468582, 55625858000698.04
1330.374542514882, 55024937457576.24
1334.1748217829058, 54414652757683.61
1337.7750863526126, 53782410724673.14
1341.5753656206364, 53195159697757.05
1345.3756448886602, 52483117827621.29
1349.575953553318, 51721004627258.016
1353.376232821342,5.10581E+13
1356.9764973910487, 50318576844943.88
1361.1768060557065, 49411609826394.44
1364.7770706254132, 48850313966357.13
1368.177320496803, 48164691626867.766
1370.7108400088189, 47602067255919.13
1373.9777467479973, 46921676953228.72
1377.7780260160212, 46184140179639.48
1381.978334680679, 45456706649524.06
1385.807187477034, 44835627798476.86
1388.1502168001762, 44328210436510.195
1391.379026, 43847686194727.766
1395.1793047696037,4.3075E+13
1398.9795840376275, 42430469502754.86
1401.7797898140661, 41762708254406.72
1405.180039685456, 41142736495785.63
1408.7303005805834, 40610109716699.44
1411.9519658999043, 39942094759670.32
1415.9808333945762, 39331615293517.53
1419.781113, 38463683533844.24
1423.7814066289409, 37704993094231.68
1427.5816858969647, 36911890531707.555
1431.3819651649885, 36406410581486.586
1434.9822297346952, 35795480077678.72
1439.1825383993532, 34883604949373.53
1442.982817667377, 34282361504294.117
1446.5830822370838, 33564873354473.25
1450.3833615051076, 32903426633296.25
1454.3836554714485, 32184144583710.86
1458.3839494377894,3.16089E+13
1462.384243, 30926118556842.227
1466.0511795399425, 30462861881650.35
1469.5847725435437, 29789503666036.89
1473.9850959065186, 29159199044772.117
1478.3854192694935, 28515978345202.727
1482.5857279341515, 27930105033305.805
1486.5860219004921, 27262343784957.664
1490.7863305651501, 26547568011580.766
1494.586609833174, 26041903545955.438
1498.1868744028807, 25423869199080.04
1502.3871830675387, 24731567401953.156
1506.7875064305135, 24080597055401.008
1511.1878297934886, 23424460277527.016
1515.5881531564635, 22742491343043.82
1519.9218049533326, 22104006538852.79
1524.3887998824134, 21518047119767.156
1528.425460157539, 20895492145485.15
1532.7894172117292, 20298769327812.35
1537.189740574704, 19658131843903.883
1541.5900639376791, 19115656555110.43
1545.790372602337, 18589972168112.96
1549.9906812669947, 17999707389592.46
1554.3910046299698, 17477897826086.375
1558.7913279929448, 16865675714448.047
1563.1916513559195, 16323200425654.594
1567.5919747188946, 15747143333269.164
1571.9922980818696, 15173669456544.656
1576.3926214448443, 14533031972636.195
1580.7929448078194, 13879478410423.117
1585.1932681707945, 13429998885422.836
1589.593591533769, 12905606106255.828
1593.9939148967442, 12409628699358.953
1598.3942382597193, 12027312781542.61
1602.794561622694, 11523585727662.984
1607.194884985669, 11159352319473.086
1611.595208348644, 10826117499214.258
1615.995531711619, 10611710599357.781
1620.3958550745938, 10304307935708.164
1624.7961784375689, 10066652094903.406
1629.1965018005437, 9805747313150.375
1633.5968251635186, 9766999078236.547
1637.9971485264937, 9529343237431.797
1642.3974718894685, 9395016023063.898
1646.7977952524434, 9198691632833.883
1651.1981186154185,9.01012E+12
1655.5984419783933, 8838179285298.422
1659.9987653413682, 8666549206684.117
1664.3990887043433, 8441809444183.969
1668.7994120673181, 8170571799787.242
1673.199735430293, 7984580272200.914
1677.600058793268, 7852836273493.922
1682.000382156243, 7700426549499.586
1686.4007055192178, 7398190317171.789
1690.801028882193, 7194116279959.023
1695.0013375468507,7.03912E+12
1700.801763798045, 6809217146481.758
1705.2020871610198, 6556062011711.477
1709.6024105239949,6.28482E+12
1714.0027338869697, 5985171350647.891
1718.4030572499446, 5902508449498.414
1722.8033806129197, 5618354726797.078
1725.2035569927243, 5504693237716.547
